A_dialog_0,B_dialog_0,A_dialog_1,A_emotion_0,A_emotion_1
羅斯，那在當時根本行不通。,不過，鴿子替你把戒指套在指頭上可不是問題嗎？。,今晚跟妳結婚真是太好玩了。,中性,開心
不過，鴿子替你把戒指套在指頭上可不是問題嗎？。,今晚跟妳結婚真是太好玩了。,當然有！而且，那可是我歷來最輕鬆賺過的400塊錢了。,憤怒,開心
今晚跟妳結婚真是太好玩了。,當然有！而且，那可是我歷來最輕鬆賺過的400塊錢了。,沒問題，莎拉。妳想問什麼呢?,開心,傷心
當然有！而且，那可是我歷來最輕鬆賺過的400塊錢了。,沒問題，莎拉。妳想問什麼呢?,嗯。,開心,中性
沒問題，莎拉。妳想問什麼呢?,嗯。,那項提案，是在行星館發生的。,傷心,中性
嗯。,那項提案，是在行星館發生的。,我知道，我知道那是件蠢事。,中性,傷心
那項提案，是在行星館發生的。,我知道，我知道那是件蠢事。,你是在開玩笑的吧？！,中性,驚訝
我以為我會這樣想像，要你當我的妻子。,那可真是很難拒絕呢。,還好我沒做，因為聽起來那會是場很昂貴的婚禮。好吧，晚安。,中性,中性
那可真是很難拒絕呢。,還好我沒做，因為聽起來那會是場很昂貴的婚禮。好吧，晚安。,晚安。,中性,中性
還好我沒做，因為聽起來那會是場很昂貴的婚禮。好吧，晚安。,晚安。,即使附載有擋風玻璃的側車廂，你的頭髮也不會因此不會凌亂。,中性,中性
晚安。,即使附載有擋風玻璃的側車廂，你的頭髮也不會因此不會凌亂。,我會考慮的。,中性,中性
那我就很高興。....。並沒有問題。,沒問題，其實我是面試委員之一，所以至少會有一位親切的面孔為你迎接。,哎呀！太好了！,開心,開心
沒問題，其實我是面試委員之一，所以至少會有一位親切的面孔為你迎接。,哎呀！太好了！,你知不知道，初選小姐是我的起點。唉，我得跟那群人睡過。,中性,中性
哎呀！太好了！,你知不知道，初選小姐是我的起點。唉，我得跟那群人睡過。,真的嗎？！,開心,驚訝
你知不知道，初選小姐是我的起點。唉，我得跟那群人睡過。,真的嗎？！,不曉得你是在說什麼，但既然你這麼說，我只好用中文回你一句：「耶，哈哈哈！」。,中性,開心
雖然我可能需要一些說服力。,好吧，我，有點不知道該說什麼。,開玩笑！今天我心情好瘋啊！,中性,開心
天哪！錢德勒剛剛走了！,嗯，但或許並不是我們想的那樣，也許是告訴米高，我對不起我把牛奶喝完了。,也許他是為了告訴她，他已經改名了，你知道的，Monica。,驚訝,中性
也許他是為了告訴她，他已經改名了，你知道的，Monica。,我想他發瘋了，就這麼走了！,別這麼消極！天公地道！難道不是有可能，Sorry正坐在那邊呢？!,中性,憤怒
嗨！,嗨！你好！,你們知道誰很會說笑話呢？,開心,中性
嗯，很奇妙。不過，事情是需要找個約會對象的。,好吧，你找的是什麼樣的男生呢？,嗨！,驚訝,開心
哦，我和瑞秋約好要剪髮。,我們好像沒說過要這麼做。,我想先看他要什麼。,中性,中性
剛剛得知伊莉莎白老爸想見我。,等等，等等！妳不是伊莉莎白的老爸嗎？!,各位，我實在很想讓那個男生喜歡我。,傷心,恐懼
如果-如果各位能陪在我身旁，讓我好看一點，那真是太好了。,當然會幫忙的啦！耶！我們挺你！,謝謝！,傷心,開心
哎呀，所以你又忘記了，我早就說過我是來自臺灣的了，你怎麼會忘記呢？,科羅拉多州。,哎呀，你這個有什麼用。,中性,中性
抓緊他！把他抓下來！把他抓下來！抓到他了！抓到他了！不是在開玩笑的，你知不知道，現在是認真的！,看朋友，這就是你需要的，一大堆沒牙的傢伙，互相用木棒敲打。,傳球！傳球！,憤怒,開心
看朋友，這就是你需要的，一大堆沒牙的傢伙，互相用木棒敲打。,傳球！傳球！,他敞開大門了！,中性,開心
他敞開大門了！,射吧！射吧！射吧！,嘿，看我們上了那個電視節目吧！,開心,驚訝
我超開心自己把這張椅子留了下來！,是啊，我也是。,耶？哇！你知道這車座椅背後藏有揚聲器吧？。,開心,驚訝
是啊，我也是。,耶？哇！你知道這車座椅背後藏有揚聲器吧？。,真的嗎？,中性,驚訝
耶？哇！你知道這車座椅背後藏有揚聲器吧？。,真的嗎？,可以。,驚訝,開心
真的嗎？,可以。,我的椅子會自動修理自己。,驚訝,中性
我的椅子會自動修理自己。,老虎！龍！冰山！喬瑟夫，你昨晚到底有沒有做任何功課？,是的，我做到了。,中性,傷心
我沒碰過吉他！,否，但你質疑我的方法！,我不是在質疑，而是認為這是蠢話！什麼事啊！?。,驚訝,憤怒
你知道別班的學生從來沒認為我笨。,原來你是我的那個學生啊！,嗯，好吧，也許你需要多付出一點努力呢！,憤怒,憤怒
原來你是我的那個學生啊！,嗯，好吧，也許你需要多付出一點努力呢！,看吧，也許我需要找個真正的老師試試看！。,憤怒,憤怒
哎呀，真可恥，喬伊你應該知道的，喬伊要工作啊。 快點過來吧！。,嗨！,不行！阿阿阿阿阿！要等五頁做好了才能拿回來！阿！！,憤怒,憤怒
不行！阿阿阿阿阿！要等五頁做好了才能拿回來！阿！！,嗨！,你好。,憤怒,中性
嗨！,你好。,嗨。嗯，我想我們確實有必要談一談。,開心,開心
你好。,嗨。嗯，我想我們確實有必要談一談。,我想我們應該可以。我們進去看看吧，我知道你們為什麼來的。,中性,傷心
嗨。嗯，我想我們確實有必要談一談。,我想我們應該可以。我們進去看看吧，我知道你們為什麼來的。,你也這麼認為嗎？,開心,驚訝
我想我們應該可以。我們進去看看吧，我知道你們為什麼來的。,你也這麼認為嗎？,嗯，而且為了免得你遇到任何尷尬，我以為我先開口比較好。,傷心,中性
好吧，羅斯和瑞秋。瑞秋和羅斯。這可是可把人盪到天邊了，不是嗎？,什麼事？,我意思是，那天晚上我們玩得很開心，而且還蠻火熱的，不過我覺得還是算了吧，我們還是當朋友就好。,中性,傷心
什麼事？,我意思是，那天晚上我們玩得很開心，而且還蠻火熱的，不過我覺得還是算了吧，我們還是當朋友就好。,認真說起來，什麼鬼？！,驚訝,驚訝
其實我現在就有點時間。,好吧，我知道了，我可以說話了。,當然可以。,中性,中性
好吧，我知道了，我可以說話了。,當然可以。,我懷孕了。羅斯？羅斯？好啦，你準備好就行了。而且別忘了，我是你的孩子爸。,開心,憤怒
好，我知道了，你現在是在說什麼呢？是在說性交的時候，在床上跟女性在一起嗎？那不是我能參與或討論的話題。請你尊重我的界限，我不想再繼續這種對話了。,哼哼。,哦，你跟她開玩笑呢。,開心,開心
而你腦中會浮現出這些如心像般的意象，你知道，像艾爾·麥克琳（Elle MacPherson），或是那家影印公司那位女孩子。,穿洞耳環呢？哦，我的天啊！,我知道，然後突然間媽媽就出現在我腦海裡了。,開心,憤怒
我知道。.。你所不知道的是。,你的媽媽，你老是跟我說起你的媽媽，說說看你的媽媽有什麼問題吧。,你好，請問有什麼可以幫助你的嗎？,驚訝,中性
我沒看到你要我翻譯的英文句子，無法為您提供翻譯服務。請提供英文句子，我會很樂意協助您將其翻譯成繁體中文。,哎呀！,看！是艾瑪啦！,中性,驚訝
哎呀！,看！是艾瑪啦！,我實在無法決定她是否更像你，還是瑞秋。,驚訝,中性
看！是艾瑪啦！,我實在無法決定她是否更像你，還是瑞秋。,哎呀你可別開玩笑了，她可真是個美人家，全是瑞秋的本事。,驚訝,開心
我實在無法決定她是否更像你，還是瑞秋。,哎呀你可別開玩笑了，她可真是個美人家，全是瑞秋的本事。,很抱歉，上次不是，為什麼你們倆不再在一起了？,中性,中性
那...就說有點複雜好了。,沒錯，你一直愛她，一直。你們有了孩子。沒有對的答案。,看，我們已經一起過了。,傷心,傷心
由於瑞秋和我目前正處於非常良好的狀態，所以。,我知道了，我也知道，我也知道，而且如果你試圖多做些反而會搞砸的。,沒錯，確實如此。,傷心,中性
我知道了，我也知道，我也知道，而且如果你試圖多做些反而會搞砸的。,沒錯，確實如此。,沒錯。或者你可能會得到自15歲以來一直渴望的東西。,中性,中性
老天爺。我忘記了自己有多愛開車。我擁有一輛車。,你沒有。,哎呀羅素你真緊張啊！你只需要放輕鬆一下，行了吧？就只是需要放輕鬆而已嘛，就只是需要放鬆一下吧。,開心,中性
你沒有。,哎呀羅素你真緊張啊！你只需要放輕鬆一下，行了吧？就只是需要放輕鬆而已嘛，就只是需要放鬆一下吧。,你在做什麼？！你是——別開玩笑了！就停止打鬧吧！。,中性,憤怒
哎呀羅素你真緊張啊！你只需要放輕鬆一下，行了吧？就只是需要放輕鬆而已嘛，就只是需要放鬆一下吧。,你在做什麼？！你是——別開玩笑了！就停止打鬧吧！。,我不是開玩笑的，我是在玩「Porsching」這個詞遊戲，它是「horsing around」的諧音，意指在玩鬧或開玩笑。,中性,開心
糟糕了。,沒事，保持冷靜。你沒那麼糟糕，沒那麼嚴重。,真的嗎？你這麼認為嗎？,恐懼,恐懼
沒事，保持冷靜。你沒那麼糟糕，沒那麼嚴重。,真的嗎？你這麼認為嗎？,我正在跟自己對話！你必敗無疑！。,中性,憤怒
親愛的！我好想你喔！今天真想你！,哦，真的嗎？,嗯，今晚想去那家新開的餐廳吃晚餐，聽說很好吃呢。,開心,中性
哦，真的嗎？,嗯，今晚想去那家新開的餐廳吃晚餐，聽說很好吃呢。,哎呀，好吧，我們或許可以。..。,驚訝,中性
嗯，今晚想去那家新開的餐廳吃晚餐，聽說很好吃呢。,哎呀，好吧，我們或許可以。..。,好吧，你這招倒是挺有趣的，不過我可不是那麼容易被搞得糊塗的。我一向是個條理分明的人，即使在面對你這種奇特的行徑時，我也能保持冷靜。所以，如果你想知道我的真實想法，就只好繼續用你的方式表現吧，反正我不會因此而改變任何事。,中性,開心
另外，明天我們要做那些生育能力測試，在此之前，你要把那些蝌蚪都放在水族箱裡養。,我們真的需要做那些測驗嗎？,親愛的，我們試過人工受孕一年多了。,中性,中性
嗨，認識的有哪些？,沒看見大衛嗎？,沒有，他並沒有。,中性,中性
沒看見大衛嗎？,沒有，他並沒有。,如果看到他，請告訴他準備打包行李，我們要去明斯克了。,中性,中性
沒有，他並沒有。,如果看到他，請告訴他準備打包行李，我們要去明斯克了。,明斯克？,中性,驚訝
如果看到他，請告訴他準備打包行李，我們要去明斯克了。,明斯克？,莫斯科，位於俄羅斯。,中性,中性
明斯克？,莫斯科，位於俄羅斯。,我知道明斯克在哪裡。,驚訝,中性
莫斯科，位於俄羅斯。,我知道明斯克在哪裡。,我們獲得補助金，三年期間所有費用全額贊助。,中性,開心
我知道明斯克在哪裡。,我們獲得補助金，三年期間所有費用全額贊助。,你何時要離開呢？,中性,中性
我們獲得補助金，三年期間所有費用全額贊助。,你何時要離開呢？,元旦。,開心,中性
很棒！不過，我倒是有點感受到機器人回話時有些態度。,那些機器人的，本應是我們的。,反正不是機器人出毛病，是操縱他的人。,開心,中性
哎呀！,好吧，何不乾脆把那傢伙炒魷魚呢？。,我可能要，我討厭做，但我才是主角！。,驚訝,憤怒
喬伊·崔比恩尼。,嗨喬，很高興找到你，我替你爭取到一個試鏡機會呢！,哇！,中性,驚訝
嗨喬，很高興找到你，我替你爭取到一個試鏡機會呢！,哇！,這事兒有點棘手。,開心,中性
發生什麼事了嗎？你什麼時候開始這麼喜歡嬰兒了？,我不喜歡嬰兒。我喜歡我們。,什麼事？,驚訝,驚訝
我不喜歡嬰兒。我喜歡我們。,什麼事？,看，我們一直說好要生小孩的一天。,開心,中性
他說，「很高興見到妳格倫達。」話說很明顯，我怎麼可能給他我的真名？,為什麼呢？為什麼不行呢？,快點看他跑得一副多麼狼狽的樣子！,中性,傷心
他要繼續留下來跟自己所遺棄的女兒說話！,你對他說了什麼話？,好吧，我說了，我告訴他我是法蘭西斯遺囑的執行人，我需要和他談談，所以我之後會在咖啡館見他。,傷心,中性
好，大約十秒鐘之後你就會看到他親我了。,約莫五秒之後，你就會看到原因。,羅斯曾向我提起過，他曾獨自背包旅行過西歐一回。,開心,中性
好，準備開始看些開場白吧！,原來是羅斯來了！(原來是羅絲向羅斯搭訕去了！),什麼事啊？！,開心,驚訝
什麼事啊？！,我現在非常快樂。,你在說什麼鬼？！,驚訝,驚訝
你怎麼知道那個故事呢？!,如何,我從我朋友伊麗莎白那兒聽說過，她又從某個傢伙那兒聽說過！,驚訝,中性
如何,我從我朋友伊麗莎白那兒聽說過，她又從某個傢伙那兒聽說過！,某人呢？,中性,驚訝
我從我朋友伊麗莎白那兒聽說過，她又從某個傢伙那兒聽說過！,某人呢？,她沒有，她說他叫阿姆斯壯(Ken Adams)。,中性,中性
某人呢？,她沒有，她說他叫阿姆斯壯(Ken Adams)。,肯恩·亞當斯！,驚訝,驚訝
我們可好，你們準備好了嗎？,媽媽今早已經打電話來提醒我不要把頭髮紮起。妳知道我的耳朵並不是我最好的地方吧？,有時我整日都想念他。,中性,中性
有時我整日都想念他。,你好，抱歉我遲到了，我迷路了。,好吧，沒事了。,中性,中性
哦，原來有名字呢？,別生氣，菲比！,好吧—歐克！太遲了！我要走了！來吧，錢德勒，我們走吧！。,驚訝,憤怒
好吧，菲比，我想我該說些什麼。 耶，幹嘛呢。,嗨比恩！,哦，那很好，也許他會聽你的並拉起繩索。,中性,憤怒
嗨比恩！,哦，那很好，也許他會聽你的並拉起繩索。,停下公車！等等！等等！等等！,恐懼,恐懼
好吧，保羅，你自己去穿衣服吧，然後就去吧，再見，拜拜。,瑞秋，這到底怎麼回事？,我不知道，我只是昨天晚上有點碰見他。,開心,恐懼
我不知道，我只是昨天晚上有點碰見他。,哪裡？,他在公寓裡。這是果汁嗎？,恐懼,中性
他在公寓裡。這是果汁嗎？,哎呀，哎呀。而你之所以甩他，是因為他搭訕了菲比嗎？。,哎呀，我知道我是個悲慘的失敗者。,中性,傷心
請問您所提的問題是關於什麼情況會讓人們停止喝母乳？,你不會嚐到什麼？,不行！,噁心,噁心
你不會嚐到什麼？,不行！,連假個奶的假象，也無濟於事。,中性,中性
不行！,連假個奶的假象，也無濟於事。,即使卡羅爾的胸脯上畫著一張失蹤孩子的圖片。,噁心,噁心
即使卡羅爾的胸脯上畫著一張失蹤孩子的圖片。,可愛的！,嗨菲比，可不可以不要把腳放我的新......舊床單上？,噁心,噁心
什麼事啊？！,哎呀！。,羅斯，你這拿了什麼地方來的啊？!,驚訝,驚訝
哎呀！。,羅斯，你這拿了什麼地方來的啊？!,天哪，菲比，。,恐懼,憤怒
羅斯，你這拿了什麼地方來的啊？!,天哪，菲比，。,哇！天哪！好吧，既然他們弄壞了我們的桌子，一定多出我們150元以上的錢！,驚訝,憤怒
這還太早說，她正休息，這是個好徵兆。,頭髮怎麼樣了？。,我不想騙你，Ross，這並不好看。,中性,傷心
我把一個夾子放在一邊，似乎已經停止了捲曲。,我們可以看她嗎？,你的頭髮看起來太好了，我覺得會令她吃醋。羅斯，你怎麼不進來一下呢。,中性,傷心
嗯，挺甜的，有點像，嗯哼，好像是。,西瓜汁。,沒錯。,中性,中性
你試過它嗎？,嗯。,哦，你試過了嗎？,驚訝,憤怒
嗯。,哦，你試過了嗎？,你再三說著，那句話依然不會變真。,中性,中性
哦，你試過了嗎？,你再三說著，那句話依然不會變真。,給我酒杯。給我毛巾。,憤怒,憤怒
我們不會知道格雷格和珍妮為何要給我們一個假電話號碼，因為他們是基於什麼原因而給的，我們無從得知。,你知道嗎？如果他們知道自己在做什麼，大概也不會給你們真名。,或許人們會發放假的號碼，但並不會發放假的身份。,憤怒,憤怒
你知道嗎？如果他們知道自己在做什麼，大概也不會給你們真名。,或許人們會發放假的號碼，但並不會發放假的身份。,嗨，奧耶？我是奧利佛，很高興認識你。,中性,中性
我們並沒有做錯什麼，他只是在找碴。,我知道啦！雖然你講了很多笑話，但其中有幾個還蠻好笑的呢！,我想你之前說那些笑話很好笑。笑話。笑話。笑話。,驚訝,驚訝
抱歉，我誤會了你的意思。既然你說你的腳癢得不得了，我猜你可能想找個方式來舒緩這股癢意。你可以試試看熱水澡或泡澡，這有助於放鬆肌肉並減輕不適。此外，你可以使用一些天然的止癢產品，如蘆薈膠或茶樹油，這些都有助於舒緩皮膚並減少瘙癢。如果這些方法都不奏效，建議你去看醫生，以排除任何潛在的皮膚感染或過敏反應。,"哦，我明白了，您要我將這段英文翻譯成繁體中文，我已將原文翻譯如下：
原來是這樣啊，我明白了。",哇！我通常在跟她多認識一點之後，才會讓她給我吃。,中性,驚訝
沒事，我們不是在搞分歧。,哎呀！看看這兒吧！噢！牆紙有點褪色了，沒關係。地毯有點鬆了，算了。硬木地板呢！。,嗨！,開心,開心
嗨！,你好。,哎呀！哎呀！哎呀，莫妮卡！好美啊！。,開心,開心
我帶了房子所需的一堆東西，你們看看吧。哈哈。,這是什麼東西？,那是一隻狗，每棟房子裡都應該有一隻狗。,開心,開心
這是什麼東西？,那是一隻狗，每棟房子裡都應該有一隻狗。,不能在屋頂上小便之一的東西。,驚訝,驚訝
那是一隻狗，每棟房子裡都應該有一隻狗。,不能在屋頂上小便之一的東西。,也許房子之所以如此龐大，是因為建造時使用了放射性廢料。,開心,開心
也許房子之所以如此龐大，是因為建造時使用了放射性廢料。,"這是在假設房子會打噴嚏，這是個有趣的比喻，用來形容一個看似堅固、穩定，但卻可能因為一些意想不到的原因而突然崩塌或發生其他災難。這句英文原句是 ""And is this in case the house sneezes?""，將它翻譯成繁體中文的意思是「而這，正為了萬一房子打噴嚏呢？」這是一個有趣的問題，將房子擬人化，想像它的脆弱性，以引起人們對建築安全和維護的重視。",不，不，那是房頂樓的鬼。,開心,中性
不，不，那是房頂樓的鬼。,我不要一個鬼。,話說，誰都不想有鬼。但你卻多了一個，只因房子座落在一座古老的印第安墓地上。,中性,中性
話說，誰都不想有鬼。但你卻多了一個，只因房子座落在一座古老的印第安墓地上。,等等，那座房子蓋在放射性廢料上，還座落在印地安人古墓遺址上？那絕不可能。,好吧，顯然你對美國政府所知不多。,中性,中性
嗨！,你好。,我需要和你談談！,驚訝,開心
沒問題，我已準備妥當，三十秒內就完成更衣，讓你和那個人獨處。你最好把握這次機會。,我並非有意要追求任何事物。,好吧，如果你不，我就會了。,憤怒,憤怒
我並非有意要追求任何事物。,好吧，如果你不，我就會了。,請你去嗎？,噁心,開心
嗯。,請看，請看。,哎呀！。,中性,驚訝
請看，請看。,哎呀！。,還有，還有！,開心,開心
哎呀！。,還有，還有！,哎呀！。,驚訝,驚訝
顯然是《愛瑪仕》。,親愛的，你真喜歡那個名字。,嗯，但我更愛你。,中性,開心
謝謝你的稱讚，下次再見啦！,等等、等等、等等！,"看，莫妮卡。(Look, Monica.)",傷心,中性
等等、等等、等等！,"看，莫妮卡。(Look, Monica.)",看！,開心,驚訝
"看，莫妮卡。(Look, Monica.)",看！,這行不通。,中性,憤怒
看！,這行不通。,我肯定這會行！,驚訝,開心
這行不通。,我肯定這會行！,你太棒了！我愛你！,憤怒,開心
我肯定這會行！,你太棒了！我愛你！,什麼事？,開心,驚訝
你太棒了！我愛你！,什麼事？,原來你這麼覺得，我只是覺得你很棒，然後就沒話可說了。,開心,恐懼
什麼事？,原來你這麼覺得，我只是覺得你很棒，然後就沒話可說了。,你說你愛我！我怎麼會相信這事兒呢？。,驚訝,驚訝
原來你這麼覺得，我只是覺得你很棒，然後就沒話可說了。,你說你愛我！我怎麼會相信這事兒呢？。,我沒做啊！,恐懼,恐懼
你說你愛我！我怎麼會相信這事兒呢？。,我沒做啊！,是的，你做到了！,驚訝,驚訝
我沒做啊！,是的，你做到了！,我沒做啊！,恐懼,恐懼
是的，你做到了！,我沒做啊！,你愛我！,驚訝,開心
我沒做啊！,你愛我！,我不同意你的說法。,恐懼,憤怒
你愛我！,我不同意你的說法。,哈囉格雷格?,開心,中性
珍妮自從搬進這間房子後，就一直持續地「發出」。,珍妮！真是太珍妮了！(Jenny! That is so Jenny!),嗨，聽起來你好，想約個時間見面嗎？,憤怒,中性
喬伊，你在說些什麼？你是個精湛的演員。,你這麼認為嗎？,哎呀，你居然會問那樣的問題！。,中性,驚訝
你這麼認為嗎？,哎呀，你居然會問那樣的問題！。,羅斯！快拍張照片紀錄下來。(他手裡拿著一期《》雜誌),驚訝,驚訝
嗯，我愛你。好，再見囉！嗨！,嗨！,那是愛麗絲的媽媽，她說她已經離開這裡五小時了，應該到現在應該已經到了。,開心,恐懼
嗨！,那是愛麗絲的媽媽，她說她已經離開這裡五小時了，應該到現在應該已經到了。,親愛的，別擔心，她準時交貨是沒問題的。,開心,中性
那是愛麗絲的媽媽，她說她已經離開這裡五小時了，應該到現在應該已經到了。,親愛的，別擔心，她準時交貨是沒問題的。,嗯。,恐懼,中性
哦，好吧，他們給了你舊時的定價。,嗯。,請問您要問我的是從哪一個時期呢？,中性,中性
嗯。,請問您要問我的是從哪一個時期呢？,哎呀，是來自古早時候的，就像往日時光一樣，你知道嗎？,中性,中性
請問您要問我的是從哪一個時期呢？,哎呀，是來自古早時候的，就像往日時光一樣，你知道嗎？,是的，我確實這麼認為。,中性,中性
他們有沒有告訴你們什麼呢？,是的，我知道的，這是來自白普萊恩斯的。,白原市。哎呀，聽起來是個魔幻般的地方。,中性,開心
所以，你還認為我不是男朋友料嗎？。,咦？,昨晚比賽期間，我看見你偷偷瞄著我。,憤怒,中性
瑞秋，這件事即將發生，錢德勒要搬進來住了。,但我。,不行，等一下！,中性,中性
而它。,是的，真的。,嗯，寶貝。,中性,中性
是的，真的。,嗯，寶貝。,我們不是，我們不再打算同居了嗎？,驚訝,傷心
